STATION NAME,ALERT ID,AUTORAINGAGEREF. ID,LAT.,LONG.,ELEV.

Acton Camp Precip ,384 ,250D ,34-26-52 ,118-11-47 ,"2,625.0 "
Acton Escond Precip ,387 ,261F ,34-29-38 ,118-16-28 ,"2,926.0 "
Acton Pump Station Precip. ,487 ,AL487 ,34-27-59 ,118-11-46 ,"2,732.0 "
Agoura FS # 65 ,317 ,434 ,34-08-04 ,118-45-14 , 800.0 
Aliso Canyon Precip ,302 ,446 ,34-19-07 ,118-33-17 ,"2,367.0 "
Aliso Cyn-Wagon Wheel Ranch Precip ,357 ,423C ,34-24-55 ,118-05-30 ,"3,920.0 "
Avek Precip ,359 ,1250 ,34-31-24 ,117-55-26 ,"2,825.0 "
Ballona Crk Precip ,370 ,AL370 ,33-59-54 ,118-24-08 ,   9.0 
Bel Air Hotel Precip ,323 ,10A ,34-05-10 ,118-26-47 , 490.0 
Bell Cyn (Rocketdyne Precip) ,300 ,AL300 ,34-13-43 ,118-41-30 ,"2,189.0 "
Bell Cyn Debris Basin Precip ,308 ,735H ,34-11-47 ,118-39-20 , 910.0 
Big Dalton Dam Precip ,419 ,223C ,34-10-14 ,117-48-36 ,"1,740.0 "
Big Pines Recreation Park Pcp ,365 ,83B ,34-22-44 ,117-41-20 ,"6,860.0 "
Big Rock Mesa Precip ,320 ,1239 ,34-02-22 ,118-37-07 , 725.0 
Big Tujunga Dam Precip ,334 ,46D ,34-17-07 ,118-11-43 ,"2,091.0 "
Big Tujunga-Camp15 Precip ,307 ,694G ,34-17-21 ,118-17-16 ,"1,502.0 "
Bouquet Cyn @ Urbandale Precip ,390 ,AL390 ,34-26-55 ,118-30-25 ,"1,280.0 "
Brand Park Precip ,449 ,210C ,34-11-06 ,118-16-37 , 948.0 
Brown's Canyon Precip ,301 ,AL301 ,34-18-42 ,118-36-30 ,"2,317.0 "
Calabasas Fire Station #125 ,474 ,AL474 ,34-09-06 ,118-41-52 , 790.0 
Camp Hi Hill Precip ,368 ,AL368 ,34-15-18 ,118-05-41 ,"4,268.0 "
Castaic Junct Precip ,385 ,1012B ,34-26-20 ,118-36-25 , 979.0 
Castaic Powerhouse ,466 ,AL466 ,34-35-17 ,118-39-18 ,"1,494.0 "
Cedar Springs Precip ,363 ,402F ,34-21-22 ,117-52-38 ,"6,780.0 "
Chilao-St Hwy Precip ,437 ,492A ,34-18-59 ,118-00-33 ,"5,275.0 "
Clear Crk School Precip ,408 ,47D ,34-16-40 ,118-10-15 ,"3,150.0 "
Cogswell Dam Precip ,411 ,334B ,34-14-35 ,117-57-39 ,"2,319.0 "
Colby's Precip ,445 ,53D ,34-18-25 ,118-06-56 ,"3,397.0 "
County Fire Station #80 ,488 ,120 ,34-29-18 ,118-08-31 ,"3,120.0 "
County Fire Station #81 ,486 ,1005B ,34-31-09 ,118-17-13 ,"2,767.0 "
Crystal Lake Precip ,391 ,283C ,34-19-01 ,117-50-32 ,"5,370.0 "
Del Valle Training Ctr. Precip. ,446 ,AL446 ,34-25-47 ,118-40-01 ,"1,342.0 "
Devils Gate Dam Precip ,337 ,453D ,34-11-08 ,118-11-43 , 980.0 
Dominguez Water Co. Precip ,315 ,1113 ,33-49-54 ,118-13-31 ,  15.0 
Eagle Rock Rsvr Precip ,311 ,802C ,34-08-46 ,118-11-28 , 970.0 
Eaton Dam Precip ,343 ,449B ,34-10-04 ,118-05-34 , 892.0 
Eaton Wash Precip ,382 ,AL382 ,34-04-29 ,118-03-17 , 259.0 
Eighty-third Street Yard - FMD ,460 ,AL460 ,33-57-45 ,118-22-37 , 110.0 
El Monte Fire Station 166 ,354 ,108D ,34-04-32 ,118-02-32 , 281.0 
